timestamp_iso,model,n_runs,seeds,macro_mean_prauc,deg-in_mean_prauc,deg-out_mean_prauc,fan-in_mean_prauc,fan-out_mean_prauc,C2_mean_prauc,C3_mean_prauc,C4_mean_prauc,C5_mean_prauc,C6_mean_prauc,S-G_mean_prauc,B-C_mean_prauc,deg-in_std_prauc,deg-out_std_prauc,fan-in_std_prauc,fan-out_std_prauc,C2_std_prauc,C3_std_prauc,C4_std_prauc,C5_std_prauc,C6_std_prauc,S-G_std_prauc,B-C_std_prauc,runtime
2026-03-20T10:33:17,"Fully-local PNA baseline | num_clients=10, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_093559",3,"0,1,2",84.53,99.87,99.84,100.0,100.0,99.09,59.79,80.57,76.77,77.79,66.43,69.71,0.02,0.02,0.0,0.0,0.14,0.34,0.13,0.19,0.1,0.19,0.26,00:57:18
2026-03-20T10:33:27,"Fully-local PNA baseline | num_clients=5, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_093838",3,"0,1,2",85.14,99.99,99.98,100.0,100.0,99.57,60.86,81.22,78.44,80.01,67.12,69.35,0.01,0.01,0.0,0.0,0.18,0.18,0.11,0.16,0.2,0.08,0.09,00:54:49
2026-03-20T10:49:15,"Fully-local PNA baseline | num_clients=15, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_093139",3,"0,1,2",83.96,99.81,99.67,100.0,100.0,99.0,58.94,79.2,76.38,77.36,65.63,67.6,0.02,0.01,0.0,0.0,0.33,0.18,0.18,0.32,0.39,0.11,0.17,01:17:36
2026-03-20T11:14:00,"Fully-local PNA baseline | num_clients=3, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_095726",3,"0,1,2",86.08,100.0,100.0,100.0,100.0,99.01,61.84,82.14,80.09,81.82,69.52,72.48,0.0,0.0,0.0,0.0,0.34,0.39,0.1,0.1,0.22,0.14,0.19,01:16:34
2026-03-20T16:51:20,"Fully-local PNA baseline | num_clients=3, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_155334",3,"0,1,2",86.14,100.0,99.99,100.0,100.0,98.67,61.76,82.35,80.35,82.01,69.83,72.57,0.0,0.01,0.0,0.0,0.55,0.21,0.13,0.22,0.2,0.02,0.21,00:57:46
2026-03-20T16:53:18,"Fully-local PNA baseline | num_clients=5, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_160113",3,"0,1,2",85.3,99.99,99.96,100.0,100.0,99.56,61.23,81.36,78.56,79.9,67.68,70.05,0.01,0.02,0.0,0.0,0.19,0.11,0.25,0.18,0.12,0.32,0.37,00:52:05
2026-03-20T17:44:16,"Fully-local PNA baseline | num_clients=10, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_164743",3,"0,1,2",84.51,99.82,99.84,100.0,100.0,98.91,59.79,80.57,76.83,77.94,66.21,69.66,0.06,0.03,0.0,0.0,0.33,0.06,0.22,0.17,0.23,0.23,0.33,00:56:33
2026-03-20T18:09:58,"Fully-local PNA baseline | num_clients=15, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_171442",3,"0,1,2",84.01,99.77,99.61,100.0,100.0,98.87,58.97,79.3,76.45,77.41,65.96,67.76,0.03,0.04,0.0,0.0,0.49,0.08,0.06,0.27,0.16,0.06,0.07,00:55:16
2026-03-20T20:20:48,"Fully-local PNA baseline | num_clients=15, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1, 2], run_id=20260320_184008",3,"0,1,2",83.86,99.68,99.61,99.99,100.0,97.84,58.92,79.13,76.42,77.26,65.48,68.16,0.0,0.04,0.01,0.0,0.63,0.14,0.06,0.23,0.22,0.07,0.2,01:40:40
2026-03-20T20:57:27,"Fully-local PNA baseline | num_clients=5, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1, 2], run_id=20260320_194821",3,"0,1,2",85.31,99.98,99.94,100.0,100.0,99.33,61.52,81.5,78.66,79.81,67.6,70.12,0.02,0.01,0.0,0.0,0.19,0.15,0.17,0.03,0.28,0.29,0.28,01:09:06
