timestamp_iso,model,n_runs,seeds,macro_mean_pct,deg-in_mean_pct,deg-out_mean_pct,fan-in_mean_pct,fan-out_mean_pct,C2_mean_pct,C3_mean_pct,C4_mean_pct,C5_mean_pct,C6_mean_pct,S-G_mean_pct,B-C_mean_pct,deg-in_std_pct,deg-out_std_pct,fan-in_std_pct,fan-out_std_pct,C2_std_pct,C3_std_pct,C4_std_pct,C5_std_pct,C6_std_pct,S-G_std_pct,B-C_std_pct,runtime
2026-03-18T22:05:58,"Fully-local PNA baseline | num_clients=3, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1, 2], run_id=20260318_194439",3,"0,1,2",82.1,99.83,99.8,99.84,99.86,99.02,61.3,74.13,68.4,66.09,66.95,67.88,0.12,0.07,0.07,0.02,0.09,0.5,1.04,0.57,1.11,0.15,0.2,02:21:18
2026-03-18T23:42:02,"Fully-local PNA baseline | num_clients=5, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1, 2], run_id=20260318_223131",3,"0,1,2",81.02,99.41,99.29,99.75,99.81,99.19,59.99,71.18,66.64,65.01,64.7,66.22,0.09,0.29,0.03,0.12,0.29,0.07,0.32,0.37,1.17,0.1,0.19,01:10:31
2026-03-19T00:22:31,"Fully-local PNA baseline | num_clients=10, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1, 2], run_id=20260318_224604",3,"0,1,2",80.06,98.33,98.04,99.77,99.77,96.63,59.53,70.19,65.72,63.14,63.91,65.58,0.17,0.09,0.02,0.1,0.65,0.06,0.4,0.3,0.2,0.17,0.48,01:36:27
2026-03-19T00:48:25,"Fully-local PNA baseline | num_clients=15, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1, 2], run_id=20260318_231103",3,"0,1,2",79.54,97.75,97.59,99.77,99.78,93.76,58.5,69.97,65.46,62.88,64.0,65.43,0.31,0.11,0.01,0.09,0.18,0.24,0.15,0.05,0.78,0.34,0.4,01:37:22
2026-03-19T10:01:01,"Fully-local PNA baseline | num_clients=3, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260319_090844",3,"0,1,2",81.82,99.68,99.63,99.73,99.91,98.49,61.03,71.99,69.0,67.12,65.74,67.75,0.19,0.15,0.14,0.02,0.15,0.3,0.94,0.14,0.65,0.13,0.16,00:52:17
2026-03-19T10:12:23,"Fully-local PNA baseline | num_clients=5, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260319_092045",3,"0,1,2",80.83,99.56,99.0,99.75,99.85,98.39,59.7,70.37,67.47,64.89,64.18,66.01,0.16,0.4,0.06,0.09,0.24,0.22,1.04,0.25,0.1,0.08,0.26,00:51:39
2026-03-19T10:23:37,"Fully-local PNA baseline | num_clients=10, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260319_092941",3,"0,1,2",79.93,98.36,98.01,99.6,99.69,96.69,59.6,69.38,65.49,63.03,63.53,65.86,0.37,0.08,0.1,0.1,0.22,0.13,0.76,0.57,1.31,0.37,0.56,00:53:56
2026-03-19T10:56:16,"Fully-local PNA baseline | num_clients=15, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260319_100208",3,"0,1,2",79.9,98.3,97.67,99.72,99.79,96.35,58.84,69.93,65.75,63.03,63.97,65.57,0.09,0.16,0.05,0.06,0.47,0.3,0.58,0.18,0.57,0.05,0.07,00:54:08
2026-03-20T10:33:17,"Fully-local PNA baseline | num_clients=10, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_093559",3,"0,1,2",79.94,98.41,98.36,99.67,99.69,96.51,59.35,69.46,65.24,62.83,63.91,65.92,0.29,0.32,0.07,0.08,0.14,0.19,0.76,0.07,0.39,0.17,0.22,00:57:18
2026-03-20T10:33:27,"Fully-local PNA baseline | num_clients=5, cross_edges=True, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260320_093838",3,"0,1,2",80.79,99.24,99.12,99.73,99.82,98.62,59.6,70.45,67.25,64.86,64.1,65.88,0.33,0.08,0.08,0.03,0.15,0.37,0.74,0.35,0.23,0.09,0.08,00:54:49
