epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,510685,223768,43.8172,54.6309
1,1,510685,223768,43.8172,54.6309
1,2,510685,223768,43.8172,54.6309
1,3,510685,223768,43.8172,54.6309
1,4,510685,223768,43.8172,54.6309
1,5,510685,223768,43.8172,54.6309
1,total,3064110,1342608,43.8172,327.7852
2,0,510509,226221,44.3128,55.2297
2,1,510509,226221,44.3128,55.2297
2,2,510509,226221,44.3128,55.2297
2,3,510509,226221,44.3128,55.2297
2,4,510509,226221,44.3128,55.2297
2,5,510509,226221,44.3128,55.2297
2,total,3063054,1357326,44.3128,331.3784
3,0,509410,225001,44.1689,54.9319
3,1,509410,225001,44.1689,54.9319
3,2,509410,225001,44.1689,54.9319
3,3,509410,225001,44.1689,54.9319
3,4,509410,225001,44.1689,54.9319
3,5,509410,225001,44.1689,54.9319
3,total,3056460,1350006,44.1689,329.5913
4,0,508533,225322,44.3082,55.0103
4,1,508533,225322,44.3082,55.0103
4,2,508533,225322,44.3082,55.0103
4,3,508533,225322,44.3082,55.0103
4,4,508533,225322,44.3082,55.0103
4,5,508533,225322,44.3082,55.0103
4,total,3051198,1351932,44.3082,330.0615
5,0,508922,224750,44.1620,54.8706
5,1,508922,224750,44.1620,54.8706
5,2,508922,224750,44.1620,54.8706
5,3,508922,224750,44.1620,54.8706
5,4,508922,224750,44.1620,54.8706
5,5,508922,224750,44.1620,54.8706
5,total,3053532,1348500,44.1620,329.2236
6,0,509595,223630,43.8839,54.5972
6,1,509595,223630,43.8839,54.5972
6,2,509595,223630,43.8839,54.5972
6,3,509595,223630,43.8839,54.5972
6,4,509595,223630,43.8839,54.5972
6,5,509595,223630,43.8839,54.5972
6,total,3057570,1341780,43.8839,327.5830
7,0,511904,224735,43.9018,54.8669
7,1,511904,224735,43.9018,54.8669
7,2,511904,224735,43.9018,54.8669
7,3,511904,224735,43.9018,54.8669
7,4,511904,224735,43.9018,54.8669
7,5,511904,224735,43.9018,54.8669
7,total,3071424,1348410,43.9018,329.2017
8,0,509394,223354,43.8470,54.5298
8,1,509394,223354,43.8470,54.5298
8,2,509394,223354,43.8470,54.5298
8,3,509394,223354,43.8470,54.5298
8,4,509394,223354,43.8470,54.5298
8,5,509394,223354,43.8470,54.5298
8,total,3056364,1340124,43.8470,327.1787
9,0,511402,225032,44.0030,54.9395
9,1,511402,225032,44.0030,54.9395
9,2,511402,225032,44.0030,54.9395
9,3,511402,225032,44.0030,54.9395
9,4,511402,225032,44.0030,54.9395
9,5,511402,225032,44.0030,54.9395
9,total,3068412,1350192,44.0030,329.6367
10,0,508787,227191,44.6535,55.4666
10,1,508787,227191,44.6535,55.4666
10,2,508787,227191,44.6535,55.4666
10,3,508787,227191,44.6535,55.4666
10,4,508787,227191,44.6535,55.4666
10,5,508787,227191,44.6535,55.4666
10,total,3052722,1363146,44.6535,332.7993
11,0,507990,221318,43.5674,54.0327
11,1,507990,221318,43.5674,54.0327
11,2,507990,221318,43.5674,54.0327
11,3,507990,221318,43.5674,54.0327
11,4,507990,221318,43.5674,54.0327
11,5,507990,221318,43.5674,54.0327
11,total,3047940,1327908,43.5674,324.1963
12,0,511409,228540,44.6883,55.7959
12,1,511409,228540,44.6883,55.7959
12,2,511409,228540,44.6883,55.7959
12,3,511409,228540,44.6883,55.7959
12,4,511409,228540,44.6883,55.7959
12,5,511409,228540,44.6883,55.7959
12,total,3068454,1371240,44.6883,334.7754
13,0,509458,225530,44.2686,55.0610
13,1,509458,225530,44.2686,55.0610
13,2,509458,225530,44.2686,55.0610
13,3,509458,225530,44.2686,55.0610
13,4,509458,225530,44.2686,55.0610
13,5,509458,225530,44.2686,55.0610
